postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3041,12412,95,4708,765.4,21,6,27/06/2022,2022-06-28
3042,15762,112,5875,710.6,28,6,27/06/2022,2022-06-28
3043,17715,115,6350,649.2,19,6,27/06/2022,2022-06-28
3044,27116,177,10636,652.8,28,6,27/06/2022,2022-06-28
3045,100,2,116,2000,0,7,27/06/2022,2022-06-28
3046,34061,198,13221,581.3,42,6,27/06/2022,2022-06-28
3047,20901,49,7221,234.4,14,5,27/06/2022,2022-06-28
3048,18025,51,5904,282.9,9,5,27/06/2022,2022-06-28
3049,9266,58,3682,625.9,3,6,27/06/2022,2022-06-28
3050,119,0,0,0,0,0,27/06/2022,2022-06-28
3051,14939,142,5567,950.5,26,6,27/06/2022,2022-06-28
3052,5697,64,2813,1123.4,9,7,27/06/2022,2022-06-28
3053,18538,136,6600,733.6,34,6,27/06/2022,2022-06-28
3054,8426,70,3146,830.8,4,6,27/06/2022,2022-06-28
3055,14160,146,5482,1031.1,18,7,27/06/2022,2022-06-28
3056,24475,278,10150,1135.9,41,7,27/06/2022,2022-06-28
3057,11502,155,5429,1347.6,24,7,27/06/2022,2022-06-28
3058,33783,334,13656,988.7,54,6,27/06/2022,2022-06-28
3059,15466,119,7747,769.4,26,6,27/06/2022,2022-06-28
3060,14040,60,4730,427.4,14,5,27/06/2022,2022-06-28
3061,5059,21,1746,415.1,5,5,27/06/2022,2022-06-28
3062,0,0,4,0,0,0,27/06/2022,2022-06-28
3063,574,4,167,696.9,1,6,27/06/2022,2022-06-28
3064,75458,440,40257,583.1,78,6,27/06/2022,2022-06-28
3065,10447,93,4224,890.2,14,6,27/06/2022,2022-06-28
3066,8512,76,3724,892.9,11,6,27/06/2022,2022-06-28
3067,8199,85,3499,1036.7,14,7,27/06/2022,2022-06-28
3068,18665,166,7609,889.4,29,6,27/06/2022,2022-06-28
3070,24567,209,9991,850.7,40,6,27/06/2022,2022-06-28
3071,18569,182,7475,980.1,28,6,27/06/2022,2022-06-28
3072,32848,321,12381,977.2,57,6,27/06/2022,2022-06-28
3073,50479,372,17234,736.9,58,6,27/06/2022,2022-06-28
3074,20522,73,6472,355.7,12,5,27/06/2022,2022-06-28
3075,22594,125,7727,553.2,23,6,27/06/2022,2022-06-28
3076,32395,193,12011,595.8,21,6,27/06/2022,2022-06-28
3078,11638,107,4530,919.4,24,6,27/06/2022,2022-06-28
3079,15990,142,5743,888.1,16,6,27/06/2022,2022-06-28
3081,13424,97,4831,722.6,18,6,27/06/2022,2022-06-28
3082,29713,206,9737,693.3,30,6,27/06/2022,2022-06-28
3083,31526,236,10481,748.6,47,6,27/06/2022,2022-06-28
3084,25514,191,8808,748.6,30,6,27/06/2022,2022-06-28
3085,13882,117,4812,842.8,22,6,27/06/2022,2022-06-28
3086,908,0,7,0,0,0,27/06/2022,2022-06-28
3087,9033,62,3015,686.4,13,6,27/06/2022,2022-06-28
3088,26890,214,9480,795.8,31,6,27/06/2022,2022-06-28
3089,11739,87,4431,741.1,19,6,27/06/2022,2022-06-28
3090,2362,17,943,719.7,3,6,27/06/2022,2022-06-28
3091,1585,10,426,630.9,3,6,27/06/2022,2022-06-28
3093,3891,24,1355,616.8,9,6,27/06/2022,2022-06-28
3094,8963,65,3089,725.2,9,6,27/06/2022,2022-06-28
3095,27770,209,9649,752.6,57,6,27/06/2022,2022-06-28
3096,1966,17,618,864.7,2,6,27/06/2022,2022-06-28
3097,1443,10,453,693,3,6,27/06/2022,2022-06-28
3099,4877,38,1433,779.2,3,6,27/06/2022,2022-06-28
3101,24604,177,7895,719.4,19,6,27/06/2022,2022-06-28
3102,6634,51,2256,768.8,7,6,27/06/2022,2022-06-28
3103,15343,85,4236,554,22,6,27/06/2022,2022-06-28
3104,20404,164,6389,803.8,25,6,27/06/2022,2022-06-28
3105,10877,60,3687,551.6,12,6,27/06/2022,2022-06-28
3106,16620,140,5152,842.4,34,6,27/06/2022,2022-06-28
3107,13557,100,4441,737.6,14,6,27/06/2022,2022-06-28
3108,20823,182,7529,874,33,6,27/06/2022,2022-06-28
3109,28357,238,8949,839.3,30,6,27/06/2022,2022-06-28
3111,12348,113,3885,915.1,28,6,27/06/2022,2022-06-28
3113,8460,66,2874,780.1,8,6,27/06/2022,2022-06-28
3114,3823,33,1217,863.2,3,6,27/06/2022,2022-06-28
3115,3799,25,1195,658.1,6,6,27/06/2022,2022-06-28
3116,9872,74,3753,749.6,15,6,27/06/2022,2022-06-28
3121,30502,234,12102,767.2,32,6,27/06/2022,2022-06-28
3122,23508,157,7657,667.9,35,6,27/06/2022,2022-06-28
3123,14319,84,4895,586.6,18,6,27/06/2022,2022-06-28
3124,22091,165,7146,746.9,35,6,27/06/2022,2022-06-28
